Addr: 0006cd2a, Data ffdf
Addr: 0006cd2b, Data ffdf
Addr: 0006cd2c, Data ffba
Addr: 0006cd2d, Data ffe5
Addr: 0006cd2e, Data ffc2
Addr: 0006cd2f, Data ffdf
Addr: 0006cd30, Data ffe4
Addr: 0006cd31, Data ffe7
Addr: 0006cd32, Data ffaf
Addr: 0006cd33, Data ffdf
Addr: 0006cd34, Data 0000
Addr: 0006cd35, Data 0000
Addr: 0006cd36, Data 0000
Addr: 0006cd37, Data 0000
Addr: 0006cd38, Data ffdf
Addr: 0006cd39, Data ffdf
Addr: 0006cd3a, Data ffdf
Addr: 0006cd3b, Data ffdf
Addr: 0006cd3c, Data ffd9
Addr: 0006cd3d, Data ffe2
Addr: 0006cd3e, Data ffe8
Addr: 0006cd3f, Data ffe1
Addr: 0006cd40, Data ffda
Addr: 0006cd41, Data ffea
Addr: 0006cd42, Data ffc8
Addr: 0006cd43, Data ffdf
Addr: 0006cd44, Data 0000
Addr: 0006cd45, Data 0000
Addr: 0006cd46, Data 0000
Addr: 0006cd47, Data 0000
Addr: 0006cd48, Data ffdf
Addr: 0006cd49, Data ffdf
Addr: 0006cd4a, Data ffdf
Addr: 0006cd4b, Data ffdf
Addr: 0006cd4c, Data ffe0
Addr: 0006cd4d, Data ffd1
Addr: 0006cd4e, Data fff2
Addr: 0006cd4f, Data ffe8
Addr: 0006cd50, Data fff7
Addr: 0006cd51, Data fff9
Addr: 0006cd52, Data ffd9
Addr: 0006cd53, Data ffdf
Addr: 0006cd54, Data 0000
Addr: 0006cd55, Data 0000
Addr: 0006cd56, Data 0000
Addr: 0006cd57, Data 0000
Addr: 0006cd58, Data ffdf
Addr: 0006cd59, Data ffdf
Addr: 0006cd5a, Data ffdf
Addr: 0006cd5b, Data 0008
Addr: 0006cd5c, Data 0007
Addr: 0006cd5d, Data ff84
Addr: 0006cd5e, Data 002f
Addr: 0006cd5f, Data 0022
Addr: 0006cd60, Data ffe6
Addr: 0006cd61, Data ffdb
Addr: 0006cd62, Data ffd6
Addr: 0006cd63, Data ffdf
Addr: 0006cd64, Data 0000
Addr: 0006cd65, Data 0000
Addr: 0006cd66, Data 0000
Addr: 0006cd67, Data 0000
Addr: 0006cd68, Data ffdf
Addr: 0006cd69, Data ffdf
Addr: 0006cd6a, Data ffdf
Addr: 0006cd6b, Data 0004
Addr: 0006cd6c, Data 0050
Addr: 0006cd6d, Data ffe5
Addr: 0006cd6e, Data ff08
Addr: 0006cd6f, Data ff4a
Addr: 0006cd70, Data ffe3
Addr: 0006cd71, Data ffe2
Addr: 0006cd72, Data ffe1
Addr: 0006cd73, Data ffdf
Addr: 0006cd74, Data 0000
Addr: 0006cd75, Data 0000
Addr: 0006cd76, Data 0000
Addr: 0006cd77, Data 0000
Addr: 0006cd78, Data ffdf
Addr: 0006cd79, Data ffdf
Addr: 0006cd7a, Data ffdf
Addr: 0006cd7b, Data ffe2
Addr: 0006cd7c, Data 0043
Addr: 0006cd7d, Data 0082
Addr: 0006cd7e, Data 0088
Addr: 0006cd7f, Data 0066
Addr: 0006cd80, Data 0016
Addr: 0006cd81, Data ffe5
Addr: 0006cd82, Data ffdf
Addr: 0006cd83, Data ffdf
Addr: 0006cd84, Data 0000
Addr: 0006cd85, Data 0000
Addr: 0006cd86, Data 0000
Addr: 0006cd87, Data 0000
Addr: 0006cd88, Data fff0
Addr: 0006cd89, Data fff0
Addr: 0006cd8a, Data fff0
Addr: 0006cd8b, Data fff0
