Addr: 0006dbb1, Data ff55
Addr: 0006dbb2, Data ff59
Addr: 0006dbb3, Data ff26
Addr: 0006dbb4, Data ffb8
Addr: 0006dbb5, Data 0097
Addr: 0006dbb6, Data 00dc
Addr: 0006dbb7, Data 0047
Addr: 0006dbb8, Data ffae
Addr: 0006dbb9, Data 0064
Addr: 0006dbba, Data ffe6
Addr: 0006dbbb, Data ffb5
Addr: 0006dbbc, Data ffb3
Addr: 0006dbbd, Data 0022
Addr: 0006dbbe, Data fecb
Addr: 0006dbbf, Data ffcd
Addr: 0006dbc0, Data ffe0
Addr: 0006dbc1, Data 0014
Addr: 0006dbc2, Data ff14
Addr: 0006dbc3, Data 0015
Addr: 0006dbc4, Data ffc1
Addr: 0006dbc5, Data ff9c
Addr: 0006dbc6, Data fffc
Addr: 0006dbc7, Data 007e
Addr: 0006dbc8, Data ffd6
Addr: 0006dbc9, Data 000e
Addr: 0006dbca, Data 0035
Addr: 0006dbcb, Data ff7e
Addr: 0006dbcc, Data ffc5
Addr: 0006dbcd, Data fff1
Addr: 0006dbce, Data 0007
Addr: 0006dbcf, Data ffcb
Addr: 0006dbd0, Data fff4
Addr: 0006dbd1, Data ffb9
Addr: 0006dbd2, Data ff9a
Addr: 0006dbd3, Data 0016
Addr: 0006dbd4, Data 0051
Addr: 0006dbd5, Data ff57
Addr: 0006dbd6, Data ff4b
Addr: 0006dbd7, Data ffd3
Addr: 0006dbd8, Data ffb2
Addr: 0006dbd9, Data ffc3
Addr: 0006dbda, Data ff78
Addr: 0006dbdb, Data ffd7
Addr: 0006dbdc, Data ffd4
Addr: 0006dbdd, Data ffa6
Addr: 0006dbde, Data ffb1
Addr: 0006dbdf, Data 0012
Addr: 0006dbe0, Data ffcb
Addr: 0006dbe1, Data ff8a
Addr: 0006dbe2, Data ff82
Addr: 0006dbe3, Data ffc3
Addr: 0006dbe4, Data ffbe
Addr: 0006dbe5, Data 0061
Addr: 0006dbe6, Data 005e
Addr: 0006dbe7, Data ff9b
Addr: 0006dbe8, Data ffe8
Addr: 0006dbe9, Data 004c
Addr: 0006dbea, Data 006b
Addr: 0006dbeb, Data ffeb
Addr: 0006dbec, Data ffe2
Addr: 0006dbed, Data 000b
Addr: 0006dbee, Data ff54
Addr: 0006dbef, Data ffd0
Addr: 0006dbf0, Data ffdc
Addr: 0006dbf1, Data ffc4
Addr: 0006dbf2, Data ffbb
Addr: 0006dbf3, Data 0084
Addr: 0006dbf4, Data fffc
Addr: 0006dbf5, Data ffbd
Addr: 0006dbf6, Data ff2e
Addr: 0006dbf7, Data fffc
Addr: 0006dbf8, Data 0021
Addr: 0006dbf9, Data 0020
Addr: 0006dbfa, Data 00be
Addr: 0006dbfb, Data 00d5
Addr: 0006dbfc, Data 002d
Addr: 0006dbfd, Data ff92
Addr: 0006dbfe, Data 0044
Addr: 0006dbff, Data ff55
Addr: 0006dc00, Data 001d
Addr: 0006dc01, Data 006e
Addr: 0006dc02, Data 0092
Addr: 0006dc03, Data ffa9
Addr: 0006dc04, Data fff4
Addr: 0006dc05, Data 0077
Addr: 0006dc06, Data 0064
Addr: 0006dc07, Data ffd9
Addr: 0006dc08, Data ffb6
Addr: 0006dc09, Data ffb9
Addr: 0006dc0a, Data 006f
Addr: 0006dc0b, Data fffa
Addr: 0006dc0c, Data ff84
Addr: 0006dc0d, Data 0002
Addr: 0006dc0e, Data fff1
Addr: 0006dc0f, Data ff33
Addr: 0006dc10, Data ff4d
Addr: 0006dc11, Data 000c
Addr: 0006dc12, Data ffc4
Addr: 0006dc13, Data ffe0
Addr: 0006dc14, Data ff93
Addr: 0006dc15, Data ff9c
Addr: 0006dc16, Data ffe7
Addr: 0006dc17, Data 00f9
Addr: 0006dc18, Data 00d9
Addr: 0006dc19, Data 0057
Addr: 0006dc1a, Data ffa9
Addr: 0006dc1b, Data fffd
Addr: 0006dc1c, Data 00c6
Addr: 0006dc1d, Data ffda
Addr: 0006dc1e, Data 004b
Addr: 0006dc1f, Data ffee
Addr: 0006dc20, Data 00b3
Addr: 0006dc21, Data ff28
Addr: 0006dc22, Data 00c8
Addr: 0006dc23, Data 0025
Addr: 0006dc24, Data 006f
Addr: 0006dc25, Data ff8a
Addr: 0006dc26, Data 008e
Addr: 0006dc27, Data ff5a
Addr: 0006dc28, Data 0039
Addr: 0006dc29, Data ffc7
Addr: 0006dc2a, Data 0195
Addr: 0006dc2b, Data fffa
Addr: 0006dc2c, Data 000e
Addr: 0006dc2d, Data 0012
Addr: 0006dc2e, Data fffe
Addr: 0006dc2f, Data ff14
Addr: 0006dc30, Data 0022
Addr: 0006dc31, Data 0048
Addr: 0006dc32, Data ffa5
Addr: 0006dc33, Data ffe5
Addr: 0006dc34, Data ff9a
Addr: 0006dc35, Data ffa0
Addr: 0006dc36, Data ff5c
Addr: 0006dc37, Data 0015
Addr: 0006dc38, Data ffc3
Addr: 0006dc39, Data ff91
Addr: 0006dc3a, Data 0022
Addr: 0006dc3b, Data ffd5
Addr: 0006dc3c, Data ffc7
Addr: 0006dc3d, Data ffa2
Addr: 0006dc3e, Data ffbe
Addr: 0006dc3f, Data ff81
Addr: 0006dc40, Data ffaf
Addr: 0006dc41, Data ffae
Addr: 0006dc42, Data ffce
Addr: 0006dc43, Data ffb7
Addr: 0006dc44, Data ff9a
Addr: 0006dc45, Data fff8
Addr: 0006dc46, Data 0080
Addr: 0006dc47, Data 0065
Addr: 0006dc48, Data ffaa
Addr: 0006dc49, Data fff6
Addr: 0006dc4a, Data 0068
Addr: 0006dc4b, Data ff7f
Addr: 0006dc4c, Data ff64
Addr: 0006dc4d, Data 001b
Addr: 0006dc4e, Data fff8
Addr: 0006dc4f, Data ffd2
Addr: 0006dc50, Data ff5a
Addr: 0006dc51, Data 000e
Addr: 0006dc52, Data ffc2
Addr: 0006dc53, Data ffdf
Addr: 0006dc54, Data ffc0
Addr: 0006dc55, Data ffde
Addr: 0006dc56, Data ffe8
Addr: 0006dc57, Data 0035
Addr: 0006dc58, Data ffa8
Addr: 0006dc59, Data ffc7
Addr: 0006dc5a, Data 006c
Addr: 0006dc5b, Data ff68
Addr: 0006dc5c, Data ff51
Addr: 0006dc5d, Data 0011
Addr: 0006dc5e, Data ff62
Addr: 0006dc5f, Data ff70
Addr: 0006dc60, Data ff50
Addr: 0006dc61, Data 0000
Addr: 0006dc62, Data fefd
Addr: 0006dc63, Data ffb1
Addr: 0006dc64, Data ffbf
Addr: 0006dc65, Data ff7d
Addr: 0006dc66, Data 00a3
Addr: 0006dc67, Data 016e
Addr: 0006dc68, Data ffec
Addr: 0006dc69, Data ffc5
Addr: 0006dc6a, Data 0057
Addr: 0006dc6b, Data fff3
Addr: 0006dc6c, Data ffdf
Addr: 0006dc6d, Data ffff
Addr: 0006dc6e, Data fff6
Addr: 0006dc6f, Data 0021
Addr: 0006dc70, Data ffa5
Addr: 0006dc71, Data ffd3
Addr: 0006dc72, Data ff77
Addr: 0006dc73, Data ffac
Addr: 0006dc74, Data ffd9
Addr: 0006dc75, Data ffe3
Addr: 0006dc76, Data ff6a
Addr: 0006dc77, Data ffb5
Addr: 0006dc78, Data ffae
Addr: 0006dc79, Data ffe4
Addr: 0006dc7a, Data 000b
Addr: 0006dc7b, Data 008a
Addr: 0006dc7c, Data ff95
Addr: 0006dc7d, Data ffd4
Addr: 0006dc7e, Data febf
Addr: 0006dc7f, Data 007f
Addr: 0006dc80, Data 000c
Addr: 0006dc81, Data 0031
Addr: 0006dc82, Data fef8
Addr: 0006dc83, Data fff7
Addr: 0006dc84, Data 000a
Addr: 0006dc85, Data 00f4
Addr: 0006dc86, Data ff6d
Addr: 0006dc87, Data ffbb
Addr: 0006dc88, Data ffaf
Addr: 0006dc89, Data ff8f
Addr: 0006dc8a, Data fefe
Addr: 0006dc8b, Data ff7f
Addr: 0006dc8c, Data ffac
Addr: 0006dc8d, Data ffdb
Addr: 0006dc8e, Data ff96
Addr: 0006dc8f, Data ff6f
Addr: 0006dc90, Data ff87
Addr: 0006dc91, Data ffc1
Addr: 0006dc92, Data ff40
Addr: 0006dc93, Data ff88
Addr: 0006dc94, Data ff9a
Addr: 0006dc95, Data ffb5
Addr: 0006dc96, Data 000c
Addr: 0006dc97, Data 0044
Addr: 0006dc98, Data 0004
Addr: 0006dc99, Data 0036
Addr: 0006dc9a, Data 00c1
Addr: 0006dc9b, Data 004c
Addr: 0006dc9c, Data 0039
Addr: 0006dc9d, Data ffe7
Addr: 0006dc9e, Data ff6d
Addr: 0006dc9f, Data 0037
Addr: 0006dca0, Data 003a
Addr: 0006dca1, Data ff6b
Addr: 0006dca2, Data ff6c
Addr: 0006dca3, Data 0013
Addr: 0006dca4, Data 0069
Addr: 0006dca5, Data 0073
Addr: 0006dca6, Data fffb
Addr: 0006dca7, Data ff62
Addr: 0006dca8, Data ffda
Addr: 0006dca9, Data 0008
Addr: 0006dcaa, Data ff95
Addr: 0006dcab, Data ff8c
Addr: 0006dcac, Data ffc2
Addr: 0006dcad, Data ffee
Addr: 0006dcae, Data ffe2
Addr: 0006dcaf, Data ffcd
Addr: 0006dcb0, Data ffe6
Addr: 0006dcb1, Data ffdc
Addr: 0006dcb2, Data ffc0
Addr: 0006dcb3, Data ffde
Addr: 0006dcb4, Data 000f
Addr: 0006dcb5, Data ffb4
Addr: 0006dcb6, Data ffc1
Addr: 0006dcb7, Data 005e
Addr: 0006dcb8, Data ffda
Addr: 0006dcb9, Data 007c
Addr: 0006dcba, Data 0035
Addr: 0006dcbb, Data 0059
Addr: 0006dcbc, Data 0001
Addr: 0006dcbd, Data fffd
Addr: 0006dcbe, Data ff9f
Addr: 0006dcbf, Data 0092
Addr: 0006dcc0, Data 0039
Addr: 0006dcc1, Data ffb1
Addr: 0006dcc2, Data ffe9
Addr: 0006dcc3, Data 001c
Addr: 0006dcc4, Data ffb4
Addr: 0006dcc5, Data 0034
Addr: 0006dcc6, Data ffba
Addr: 0006dcc7, Data ffce
Addr: 0006dcc8, Data 0059
Addr: 0006dcc9, Data 0044
Addr: 0006dcca, Data 00a4
Addr: 0006dccb, Data 00ad
Addr: 0006dccc, Data 002f
Addr: 0006dccd, Data 0197
Addr: 0006dcce, Data 0105
Addr: 0006dccf, Data 018e
Addr: 0006dcd0, Data ffa8
Addr: 0006dcd1, Data 0161
Addr: 0006dcd2, Data ffd9
Addr: 0006dcd3, Data 01a3
Addr: 0006dcd4, Data ff7c
Addr: 0006dcd5, Data 00ec
Addr: 0006dcd6, Data fe2c
Addr: 0006dcd7, Data 0175
Addr: 0006dcd8, Data ff9d
Addr: 0006dcd9, Data 0004
Addr: 0006dcda, Data 0012
Addr: 0006dcdb, Data 0054
Addr: 0006dcdc, Data ff93
Addr: 0006dcdd, Data 0053
Addr: 0006dcde, Data ffe7
Addr: 0006dcdf, Data ffde
Addr: 0006dce0, Data ff82
Addr: 0006dce1, Data 0059
Addr: 0006dce2, Data ff53
Addr: 0006dce3, Data ffa0
Addr: 0006dce4, Data ffc1
Addr: 0006dce5, Data 0102
Addr: 0006dce6, Data ffe0
Addr: 0006dce7, Data ffb3
Addr: 0006dce8, Data ffd5
Addr: 0006dce9, Data ff88
Addr: 0006dcea, Data 002d
Addr: 0006dceb, Data 0015
Addr: 0006dcec, Data ffac
Addr: 0006dced, Data ffae
Addr: 0006dcee, Data fff0
Addr: 0006dcef, Data ff46
Addr: 0006dcf0, Data ff78
Addr: 0006dcf1, Data ffee
Addr: 0006dcf2, Data 001c
Addr: 0006dcf3, Data ff6b
Addr: 0006dcf4, Data ff8e
Addr: 0006dcf5, Data ff9a
Addr: 0006dcf6, Data fefd
Addr: 0006dcf7, Data 0011
Addr: 0006dcf8, Data ffad
Addr: 0006dcf9, Data ffbe
Addr: 0006dcfa, Data 0036
Addr: 0006dcfb, Data 003c
Addr: 0006dcfc, Data ffa3
Addr: 0006dcfd, Data ff85
Addr: 0006dcfe, Data ffa8
Addr: 0006dcff, Data 0001
Addr: 0006dd00, Data ffb9
Addr: 0006dd01, Data ff99
Addr: 0006dd02, Data ff87
Addr: 0006dd03, Data ff8d
Addr: 0006dd04, Data 0031
Addr: 0006dd05, Data 0009
Addr: 0006dd06, Data ffcf
Addr: 0006dd07, Data ff98
Addr: 0006dd08, Data ffc9
Addr: 0006dd09, Data ff8b
Addr: 0006dd0a, Data 0025
Addr: 0006dd0b, Data ff9b
Addr: 0006dd0c, Data ffd0
Addr: 0006dd0d, Data ff9e
Addr: 0006dd0e, Data 0036
Addr: 0006dd0f, Data ffc7
Addr: 0006dd10, Data ffd2
Addr: 0006dd11, Data ffd8
Addr: 0006dd12, Data ffbb
Addr: 0006dd13, Data ffad
Addr: 0006dd14, Data ffd2
Addr: 0006dd15, Data ffdc
Addr: 0006dd16, Data ff93
Addr: 0006dd17, Data ffd6
Addr: 0006dd18, Data ffd8
Addr: 0006dd19, Data 000e
Addr: 0006dd1a, Data fffe
Addr: 0006dd1b, Data 00e8
Addr: 0006dd1c, Data ffe5
Addr: 0006dd1d, Data ff7e
Addr: 0006dd1e, Data ffea
Addr: 0006dd1f, Data ffff
Addr: 0006dd20, Data ff9e
Addr: 0006dd21, Data ff8c
